"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (ring_net_only)",11026,11148,1.1,6070,6733,10.9,"BSS"
"shore (all_gear)",42541,55645,30.8,12733,19116,50.1,"BSS"
"private_boat (ring_net_only)",11678,NA,NA,6171,NA,NA,"PE"
"private_boat (all_gear)",237717,87359,-63.3,63864,56266,-11.9,"PE"
"comm_charter (census)",283,NA,NA,12007,NA,NA,"Census"
