"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",3403,3099,3919,6178,5725,6978
"2024-10",6063,5555,6754,10971,10225,12012
"2024-11",3411,2841,4188,5623,4812,6651
"2024-12",10215,9326,11586,6491,5397,7994
"2025-01",7386,6820,8383,5686,4667,7182
"2025-02",1781,1459,2269,3545,2794,4668
"2025-03",2140,1544,3362,5280,4282,6756
"2025-04",4885,3427,7774,10130,8087,13189
"2025-05",6013,4044,10025,11496,9051,15553
"2025-06",6615,3609,15054,12979,8823,22326
"2025-07",19795,10139,42262,35780,24527,61128
"2025-08",17806,9610,32734,33885,26184,47992
"2025-09",8323,4006,16406,15764,11849,22310
