"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",3313,3085,3863,6034,5669,6868
"2024-10",6004,5605,6701,10757,10284,11901
"2024-11",3307,2869,4068,5609,4873,6532
"2024-12",10212,9341,11499,6483,5431,7930
"2025-01",7398,6813,8347,5704,4659,7196
"2025-02",1774,1452,2292,3543,2793,4687
"2025-03",2146,1541,3284,5283,4275,6801
"2025-04",4864,3432,7817,10171,8097,13268
"2025-05",6006,4041,10049,11500,9002,15745
"2025-06",6564,3533,15238,12780,8796,22971
"2025-07",19523,9536,42161,35166,23918,63044
"2025-08",17758,9610,31685,34333,26104,47040
"2025-09",8193,3932,16980,15843,11503,23365
