"fit","R_G_interpretation","R_T_interpretation"
"shore_ring_net_only_Dungeness_Kept","1.33 gear/crabber (1.27-1.37)","0.51 trailers/group (0.03-0.97)"
"shore_all_gear_Dungeness_Kept","1.27 gear/crabber (1.24-1.30)","0.50 trailers/group (0.03-0.97)"
"private_boat_all_gear_Dungeness_Kept","1.23 gear/crabber (0.69-2.18)","1.00 trailers/group (0.98-1.00)"
