"metric","value"
"Season start","2024-09-16"
"Season end","2025-09-15"
"Season days","365"
"PE total catch","53073"
"BSS total catch (median)","80316"
"BSS 95% CI lower","67841"
"BSS 95% CI upper","98287"
"Catch: Shore","18242"
"Catch: Private Boat","22823"
"Catch: Commercial/Charter","12007"
"Catch %: Shore","34.4"
"Catch %: Private Boat","43"
"Catch %: Commercial/Charter","22.6"
"Effort days sampled","200"
"Total interviews","3925"
"BSS fits attempted","3"
"BSS fits passed convergence","3"
