"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95","composition","effort_units_note"
"Dungeness_Kept","Effort (mixed units; see effort_units_note)",81446,99416,92726,107002,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row mixes crabber-hours (shore) and gear-deployments (boat)"
"Dungeness_Kept","Catch",53073,80316,67841,98287,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row mixes crabber-hours (shore) and gear-deployments (boat)"
