"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1601,1248,2230,3309,2545,4680
"2024-10",3016,2524,3685,6208,5194,7629
"2024-11",2557,2032,3268,5710,4604,7136
"2024-12",9650,8843,10715,6339,5025,8021
"2025-01",6878,6417,7582,5240,4172,6692
"2025-02",1494,1252,1869,3658,2794,4826
"2025-03",1403,983,2265,4247,3582,5048
"2025-04",2848,2025,4481,7881,6579,9546
"2025-05",7781,5168,13351,8899,7468,10629
"2025-06",3869,2486,6761,7242,5613,9376
"2025-07",12604,7379,24158,16042,13076,19949
"2025-08",19081,12361,30882,16927,14269,20355
"2025-09",5628,3261,10355,6813,5450,8640
