"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"gear",311,-1393.59727783264,16.7506582248786,11.4324572312766,0,-1382.16
"catch",1649,-3131.15658469059,49.4434855352555,10.5927436015864,0,-3120.56
