"gear_type","catch","has_BSS","proportion"
"All",67273,TRUE,0.839
"Pot",12007,FALSE,0.15
"Ring Net",802,FALSE,0.01
"Snare",56,FALSE,0.001
"Trap",56,FALSE,0.001
