"parameter","prior","prior_mean","prior_sd","post_mean","post_sd","post_median","post_lo95","post_hi95","contraction","prior_influential"
"R_G","lognormal(log(1.300), 0.300)",1.35983621788133,0.417304210635423,1.35767108354635,0.4227725589694,1.29192826780566,0.717432380905522,2.37432581840944,-0.013,TRUE
"phi_E","2*beta(2.0,2.0)-1",0,0.447213595499958,0.658915672072572,0.199646068198615,0.693481819143413,0.1841116338626,0.932132537672945,0.554,FALSE
"phi_C","2*beta(2.0,2.0)-1",0,0.447213595499958,-0.12317874197273,0.392692176607176,-0.159594171681736,-0.777392350999193,0.706891100938662,0.122,TRUE
"B1","normal(0, 1.0)",0,1,0.269140976756539,0.164669984700911,0.267615012945928,-0.0538004332815473,0.597124460739139,0.835,FALSE
"B2","normal(0, 1.0)",0,1,0.513458361060757,0.394883611872119,0.507909663780422,-0.216799325034409,1.33845050121476,0.605,FALSE
"mu_mu_E[1]","normal(2.303, 2.0)",2.30258509299405,2,2.74035831092319,0.948745127113091,2.78265376915639,0.630454666247842,4.52053622492442,0.526,FALSE
"mu_mu_C[1]","normal(-0.693, 2.0)",-0.693147180559945,2,1.0469120254201,0.241708900255659,1.05926800589785,0.542451306048254,1.44789124293648,0.879,FALSE
"sigma_eps_E","half-cauchy(0, 2.0)",NA,NA,1.09598224593082,0.356539488441299,1.02614057941968,0.612834373335719,2.03252619421457,NA,FALSE
"sigma_eps_C","half-cauchy(0, 2.0)",NA,NA,0.439761474178485,0.203386363071312,0.411630434695695,0.107808366236132,0.933407533703823,NA,FALSE
"sigma_r_E","half-cauchy(0, 2.0)",NA,NA,0.932320658308424,0.0640683074703259,0.929516421792464,0.812486146091934,1.0628770497934,NA,FALSE
"sigma_r_C","half-cauchy(0, 2.0)",NA,NA,0.772982654893901,0.0663002776733421,0.770761892331753,0.650003058801327,0.909652884724032,NA,FALSE
"sigma_mu_E","half-cauchy(0, 2.0)",NA,NA,8.1442905582704,45.0181868854597,2.03883795015328,0.0801938119618152,36.0962743644706,NA,FALSE
"sigma_mu_C","half-cauchy(0, 2.0)",NA,NA,9.00661559707031,86.8891771741632,1.97760187509452,0.0735198672669726,43.2873870245521,NA,FALSE
"B1_C","normal(0, 1.0)",0,1,-0.0248170593568163,0.154399307435353,-0.0243362154250125,-0.315726141534357,0.280420235017441,0.846,FALSE
"R_G_boat","lognormal(log(4.000), 0.500)",4.53259381226731,2.41560213284352,3.55202298395662,0.166677840107248,3.54994367370634,3.2336431585768,3.87718052778347,0.931,FALSE
