"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1711,1308,2400,2552,1969,3638
"2024-10",3187,2644,3940,4759,3958,5840
"2024-11",2894,2259,3746,4330,3473,5448
"2024-12",10114,9182,11362,4993,3954,6396
"2025-01",6998,6492,7728,4130,3272,5270
"2025-02",1606,1330,2003,2875,2198,3788
"2025-03",1529,1072,2389,3351,2829,3995
"2025-04",3006,2150,4610,6311,5266,7587
"2025-05",8021,5404,13624,7239,6090,8638
"2025-06",4318,2834,7253,5836,4551,7521
"2025-07",12802,7562,24305,13408,10851,16929
"2025-08",19031,12207,30811,14326,11999,17286
"2025-09",5833,3420,10592,5786,4645,7415
