"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",14537.5588555407,5629.71639511928
"Shore (all-gear)",54156.3000096554,12612.4662405527
"Private Boat (ring-net)",583.905882352941,913.745454545454
"Private Boat (all-gear)",11885.8448275862,21909.7491237905
"Commercial/Charter",282.811594202899,12007.1197463768
"PORT TOTAL",81446.4211693381,53072.7969603846
