"fit","B1_median","B1_lo95","B1_hi95","weekend_multiplier","B2_median","B2_lo95","B2_hi95","holiday_multiplier"
"shore_ring_net_only_Dungeness_Kept",0.503,0.199,0.82,"1.7x (1.2-2.3)",0.032,-1.003,1.215,"1.7x (0.6-5.7)"
"shore_all_gear_Dungeness_Kept",0.764,0.628,0.904,"2.1x (1.9-2.5)",0.393,0.029,0.798,"3.2x (2.2-4.8)"
"private_boat_all_gear_Dungeness_Kept",0.268,-0.054,0.597,"1.3x (0.9-1.8)",0.508,-0.217,1.338,"2.2x (1.1-4.9)"
