"event_date","L_unit","L_prior_center","L_prior_sigma_log","L_effective_hours_regression","L_posterior_median","L_posterior_lo95","L_posterior_hi95"
2024-12-01,"turnover (trips per present group per day)",3.03,0.5,5.41100021752065,2.95703426611357,2.01301792685648,4.3412141196987
2024-12-02,"turnover (trips per present group per day)",3.03,0.5,5.62405001408018,2.95840402463014,2.04141522746048,4.30359498969355
2024-12-03,"turnover (trips per present group per day)",3.03,0.5,5.61838209950632,2.96051052351763,2.02323786349605,4.32836013673871
2024-12-04,"turnover (trips per present group per day)",3.03,0.5,5.61266258538034,2.94925552286143,2.02168242587773,4.32645102443373
2024-12-05,"turnover (trips per present group per day)",3.03,0.5,5.60689164097545,2.95724475274208,2.02645266221542,4.31851200488966
2024-12-06,"turnover (trips per present group per day)",3.03,0.5,5.60106943696633,2.95771748712853,2.02122912502536,4.31484197933269
2024-12-07,"turnover (trips per present group per day)",3.03,0.5,5.3778690765709,2.9529891671682,2.01803826370735,4.3215639007167
2024-12-08,"turnover (trips per present group per day)",3.03,0.5,5.37217497730588,2.95499319858092,2.01937651863311,4.3267045748135
2024-12-09,"turnover (trips per present group per day)",3.03,0.5,5.58329699490562,2.95258684789189,2.0435997110714,4.2824230007391
2024-12-10,"turnover (trips per present group per day)",3.03,0.5,5.5772714869604,2.9606854755304,2.02772150117294,4.27640258116406
2024-12-11,"turnover (trips per present group per day)",3.03,0.5,5.5711955935101,2.95847395454741,2.0004657877701,4.35086274356921
2024-12-12,"turnover (trips per present group per day)",3.03,0.5,5.56506949345952,2.95711306460679,2.04276885563178,4.31680304167912
2024-12-13,"turnover (trips per present group per day)",3.03,0.5,5.55889336705481,2.96466316754471,2.02907200876646,4.32268579283857
2024-12-14,"turnover (trips per present group per day)",3.03,0.5,5.33699221701049,2.95211021162479,2.04272185151209,4.2941246216362
2024-12-15,"turnover (trips per present group per day)",3.03,0.5,5.33096034036902,2.96202423901181,2.02784731103333,4.3454074938932
2024-12-16,"turnover (trips per present group per day)",3.03,0.5,5.54006665211139,2.95416409085296,2.02551567116301,4.28640718530941
2024-12-17,"turnover (trips per present group per day)",3.03,0.5,5.53369224926783,2.96125985664568,2.03569363322982,4.27641341727224
2024-12-18,"turnover (trips per present group per day)",3.03,0.5,5.52726874110963,2.96297081847155,2.02549077193665,4.26021061977629
2024-12-19,"turnover (trips per present group per day)",3.03,0.5,5.5207963157434,2.95411410028369,2.03138171884048,4.28236837971675
2024-12-20,"turnover (trips per present group per day)",3.03,0.5,5.51427516255407,2.94888889258182,2.02442802785375,4.29269818971795
2024-12-21,"turnover (trips per present group per day)",3.03,0.5,5.29377669199724,2.94685270803555,2.03051410292557,4.26587714872351
2024-12-22,"turnover (trips per present group per day)",3.03,0.5,5.28741571230141,2.96214871653361,2.04550578942848,4.32883952635315
2024-12-23,"turnover (trips per present group per day)",3.03,0.5,5.49442124887685,2.95471677759499,2.02455389961851,4.26000667256564
2024-12-24,"turnover (trips per present group per day)",3.03,0.5,5.48770710348607,2.96632330450811,2.01648751722597,4.31954246051912
2024-12-25,"turnover (trips per present group per day)",3.03,0.5,5.48094519604638,2.9680546367897,2.02872481880441,4.29260966644385
2024-12-26,"turnover (trips per present group per day)",3.03,0.5,5.47413572341684,2.96151114181078,2.01929667471713,4.27011327690151
2024-12-27,"turnover (trips per present group per day)",3.03,0.5,5.46727888366909,2.9568543837805,2.02617064314021,4.27476443834444
2024-12-28,"turnover (trips per present group per day)",3.03,0.5,5.24828449786819,2.95995083369498,2.03208789593583,4.3032083970475
2024-12-29,"turnover (trips per present group per day)",3.03,0.5,5.24160351075808,2.95754004325793,2.0133184118302,4.34075859753112
2024-12-30,"turnover (trips per present group per day)",3.03,0.5,5.44642616042033,2.96020533092742,2.01006565550314,4.31952446999498
2024-12-31,"turnover (trips per present group per day)",3.03,0.5,5.22810688369802,2.96316197567345,2.02477001176762,4.28059996605388
2025-01-01,"turnover (trips per present group per day)",3.03,0.5,4.25509197539507,2.96149352473488,2.02954737932199,4.32619828209119
2025-01-02,"turnover (trips per present group per day)",3.03,0.5,4.43778412112345,2.95231194942078,2.01361438057222,4.29484281801941
2025-01-03,"turnover (trips per present group per day)",3.03,0.5,4.44850278274731,2.94904575728916,2.00492481780892,4.32413703170645
2025-01-04,"turnover (trips per present group per day)",3.03,0.5,4.28599871071539,2.95638155230375,2.01277189168226,4.27780510679292
2025-01-05,"turnover (trips per present group per day)",3.03,0.5,4.29626302232635,2.95275092367289,2.03196950535893,4.30142809289292
2025-01-06,"turnover (trips per present group per day)",3.03,0.5,4.48053983629726,2.95489694608173,2.02739753000118,4.29395314207829
2025-01-07,"turnover (trips per present group per day)",3.03,0.5,4.49117832360647,2.9467183627685,2.02888084443027,4.28884560607618
2025-01-08,"turnover (trips per present group per day)",3.03,0.5,4.50179610222494,2.95768306623696,2.03710453956374,4.28903876370134
2025-01-09,"turnover (trips per present group per day)",3.03,0.5,4.5123929061011,2.95359926993285,2.04370528736428,4.31990645628858
2025-01-10,"turnover (trips per present group per day)",3.03,0.5,4.52296846919904,2.95420312399221,2.02290690138429,4.32056228383175
2025-01-11,"turnover (trips per present group per day)",3.03,0.5,4.35743269122538,2.95411880091349,2.03247060530399,4.30876944189506
2025-01-12,"turnover (trips per present group per day)",3.03,0.5,4.36755588271719,2.9570329974662,2.0371673776729,4.28437885432944
2025-01-13,"turnover (trips per present group per day)",3.03,0.5,4.55456505392853,2.95282026776197,2.0262741144974,4.29892024564507
2025-01-14,"turnover (trips per present group per day)",3.03,0.5,4.56505299425008,2.9539142248329,2.0159648560652,4.29703845298223
2025-01-15,"turnover (trips per present group per day)",3.03,0.5,4.57551836423156,2.95244300051684,2.02737371637605,4.30138979905185
2025-01-16,"turnover (trips per present group per day)",3.03,0.5,4.58596089816105,2.95498599050082,2.02865109011001,4.3223750123204
2025-01-17,"turnover (trips per present group per day)",3.03,0.5,4.59638033041922,2.95750834436963,2.03413316855537,4.30272859359009
2025-01-18,"turnover (trips per present group per day)",3.03,0.5,4.4278412545484,2.9599897683331,2.02961851932968,4.30894075760988
2025-01-19,"turnover (trips per present group per day)",3.03,0.5,4.43781080386348,2.95172274779656,2.02523216107762,4.33821700001134
