"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,67,42681,34334,23,80.4
"boat pot-closure",76,14,1135,898,18,79.1
"shore all-gear",289,145,19901,11067,50,55.6
"shore pot-closure",76,51,5942,2018,67,34
