"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1569,1095,2612,1157,875,1629
"2024-10",3179,2459,4616,2218,1807,2779
"2024-11",2984,2162,5716,2180,1669,2980
"2024-12",8549,7364,10541,2701,2182,3363
"2025-01",6248,5398,7682,2623,2109,3313
"2025-02",1598,1232,2324,1625,1291,2052
"2025-03",1910,1341,3066,1959,1652,2323
"2025-04",3507,2562,5152,3490,2897,4212
"2025-05",7823,4986,13167,4065,3242,5121
"2025-06",6872,4266,11827,4626,3503,6089
"2025-07",16342,8852,30990,9222,6676,12746
"2025-08",16781,10115,28863,8249,6265,10993
"2025-09",3607,2110,6976,2489,1769,3566
