"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",59939,45676,83298,0.724
"Trap",11586,10209,13190,0.14
"Ring Net",8882,6986,12639,0.107
"Snare",2010,1581,2604,0.024
"Other",409,0,1567,0.005
