"stratum","label","walk_prev","walk_gap","contact_days","contacts","contacts_crabbing","typed_days","typed_crabbing","typed_combo","osp_days","osp_total","osp_crab_only","f_median","f_lo95","f_hi95","f_n_eff","f_Rhat","c_median","c_lo95","c_hi95","crab_only_share_median","crab_only_share_lo95","crab_only_share_hi95"
1,"2024-12",0,1,17,31,30,17,30,0,0,0,0,0.920947413159906,0.813818345088367,0.980138171824322,11337,0.9999,0.0224237064306813,0.00109261970749209,0.10005857705997,0.894279198038151,0.775720675419401,0.964799268961744
2,"2025-01",1,1,11,26,23,11,23,0,0,0,0,0.892230525426541,0.772507778491693,0.962643244545093,12814,0.9998,0.0211724427044388,0.000723235827751348,0.106380316611379,0.866675600374004,0.7332170412965,0.946411554532689
3,"2025-02",2,1,4,5,5,4,5,0,0,0,0,0.866345350104658,0.676897682946553,0.972366360655033,10108,0.9998,0.0531061110360259,0.00140808567084345,0.31006494259759,0.800149512157853,0.547987731748458,0.942285211962994
4,"2025-03",3,1,6,13,9,6,9,5,0,0,0,0.751057059057638,0.538258713178251,0.915709496611224,10605,1,0.385490745141358,0.130983281267591,0.705740213313156,0.449224709615746,0.210008661345601,0.700506918602309
5,"2025-04",4,1,11,26,16,9,16,6,0,0,0,0.623025663290226,0.453174036524344,0.776480531630497,10114,0.9999,0.385987050198716,0.191014373284771,0.605706834891455,0.377069612179366,0.222700864508266,0.552336978178229
6,"2025-05",5,1,10,17,8,6,8,4,0,0,0,0.509065366827182,0.320546031707575,0.684732006901663,12852,1.0002,0.472301614351637,0.221919013444626,0.739958939567672,0.262524221285195,0.116762278040134,0.442557450447972
7,"2025-06",6,1,4,13,6,4,6,3,0,0,0,0.470333308114818,0.278020901448514,0.673397274397533,12890,0.9997,0.532163819151867,0.240204158570574,0.80094237181583,0.213669046195709,0.081414414467592,0.409263873286344
8,"2025-07",7,1,6,17,8,4,8,6,0,0,0,0.417853864813495,0.24707015779196,0.616942618376491,11681,1.0002,0.645827339578504,0.36748345801307,0.878825412841652,0.143804662652647,0.0452766507309022,0.302806600659317
9,"2025-08",8,1,7,44,12,5,12,6,0,0,0,0.301474709693303,0.176749278397157,0.457884454181988,10996,0.9997,0.590535855860396,0.329556274649887,0.813518516751676,0.120469735463186,0.0473651108854291,0.238254288694182
10,"2025-09",9,1,6,29,4,3,4,4,0,0,0,0.198346781390651,0.0766261150449873,0.361947109095898,10587,0.9998,0.827586927892561,0.439990530706108,0.997512276869697,0.0316557033235359,0.000441088068837415,0.136530075567909
