"data_type","day","mean_mu","V_poisson","V_nb_overdisp","V_latent","V_total","pred_vmr"
"trailer",2,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",3,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",4,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",5,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",6,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",7,2.48621464967027,2.48621464967027,5.81120482591551,0.467967994472546,8.76538747005832,3.5255956163
"trailer",10,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",11,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",12,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",13,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",14,2.48621464967027,2.48621464967027,5.81120482591551,0.467967994472546,8.76538747005832,3.5255956163
"trailer",15,2.48621464967027,2.48621464967027,5.81120482591551,0.467967994472546,8.76538747005832,3.5255956163
"trailer",18,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",20,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",21,2.48621464967027,2.48621464967027,5.81120482591551,0.467967994472546,8.76538747005832,3.5255956163
"trailer",22,2.48621464967027,2.48621464967027,5.81120482591551,0.467967994472546,8.76538747005832,3.5255956163
"trailer",23,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",24,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",26,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",27,1.51500278286542,1.51500278286542,2.14609606101981,0.161813913356296,3.82291275724153,2.52337012213999
"trailer",28,2.48621464967027,2.48621464967027,5.81120482591551,0.467967994472546,8.76538747005832,3.5255956163
"trailer",31,4.17500781630272,4.17500781630272,17.5401029038082,2.55363646898823,24.2687471890991,5.81286269556997
"trailer",32,3.24683765073783,3.24683765073783,10.5645749712971,1.47740638830931,15.2888190103442,4.7088338423296
"trailer",33,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",34,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",35,1.93897650493603,1.93897650493603,3.54957980441638,0.292861247379042,5.78141755673146,2.98168520454671
"trailer",38,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",39,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",40,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",41,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",42,1.93897650493603,1.93897650493603,3.54957980441638,0.292861247379042,5.78141755673146,2.98168520454671
"trailer",45,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",47,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",48,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",49,1.93897650493603,1.93897650493603,3.54957980441638,0.292861247379042,5.78141755673146,2.98168520454671
"trailer",52,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",53,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",54,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",55,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",56,1.93897650493603,1.93897650493603,3.54957980441638,0.292861247379042,5.78141755673146,2.98168520454671
"trailer",60,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",61,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",62,1.18026236966236,1.18026236966236,1.30305096104986,0.0965049266250577,2.57981825733728,2.18580065216795
"trailer",63,0.919785212892199,0.919785212892199,0.847088445731521,0.122287809493524,1.88916146811724,2.05391589431723
"trailer",67,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",68,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",69,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",70,1.545667305964,1.545667305964,2.58236945925584,0.550269809983825,4.67830657520366,3.02672286406803
"trailer",73,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",74,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",76,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",77,0.919785212892199,0.919785212892199,0.847088445731521,0.122287809493524,1.88916146811724,2.05391589431723
"trailer",81,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",82,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",83,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",84,0.919785212892199,0.919785212892199,0.847088445731521,0.122287809493524,1.88916146811724,2.05391589431723
"trailer",87,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",88,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",89,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",90,0.559938404411427,0.559938404411427,0.311562387147054,0.0430946735645097,0.914595465122992,1.63338584729575
"trailer",91,1.58226295108243,1.58226295108243,2.28627039650967,0.120261985694867,3.98879533328697,2.52094339348477
"trailer",94,0.964513235265332,0.964513235265332,0.844577043875322,0.0396281997869032,1.84871847892756,1.91673728398241
"trailer",95,0.964513235265332,0.964513235265332,0.844577043875322,0.0396281997869032,1.84871847892756,1.91673728398241
"trailer",96,0.964513235265332,0.964513235265332,0.844577043875322,0.0396281997869032,1.84871847892756,1.91673728398241
"trailer",98,1.58226295108243,1.58226295108243,2.28627039650967,0.120261985694867,3.98879533328697,2.52094339348477
"trailer",101,0.964513235265332,0.964513235265332,0.844577043875322,0.0396281997869032,1.84871847892756,1.91673728398241
"trailer",102,0.964513235265332,0.964513235265332,0.844577043875322,0.0396281997869032,1.84871847892756,1.91673728398241
"trailer",104,0.964513235265332,0.964513235265332,0.844577043875322,0.0396281997869032,1.84871847892756,1.91673728398241
"trailer",105,1.58226295108243,1.58226295108243,2.28627039650967,0.120261985694867,3.98879533328697,2.52094339348477
"trailer",108,0.964513235265332,0.964513235265332,0.844577043875322,0.0396281997869032,1.84871847892756,1.91673728398241
"trailer",109,0.964513235265332,0.964513235265332,0.844577043875322,0.0396281997869032,1.84871847892756,1.91673728398241
