"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (ring_net_only)",11026,11148,1.1,6070,6733,10.9,"BSS"
"shore (all_gear)",42541,55645,30.8,12733,19116,50.1,"BSS"
"private_boat (ring_net_only)",11678,NA,NA,6171,NA,NA,"PE"
"private_boat (all_gear)",237717,97903,-58.8,63864,74025,15.9,"BSS"
"comm_charter (census)",283,NA,NA,12007,NA,NA,"Census"
