"population","gear_primary","total_catch","n_int","prop_catch"
"private_boat","Other",14,1,0.00811594202898551
"private_boat","Pot",1565,119,0.907246376811594
"private_boat","Ring Net",134,16,0.0776811594202899
"private_boat","Snare",6,1,0.00347826086956522
"private_boat","Trap",6,1,0.00347826086956522
"shore","Other",15,3,0.00163256421419242
"shore","Pot",2378,700,0.258815846756639
"shore","Ring Net",2322,614,0.252720940356987
"shore","Snare",622,168,0.0676969960818459
"shore","Trap",3851,788,0.419133652590335
