"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1396,1016,2041,1063,791,1544
"2024-10",2766,2191,3525,2024,1626,2555
"2024-11",2401,1824,3201,1820,1407,2375
"2024-12",8903,8186,9836,2067,1615,2676
"2025-01",6638,6257,7184,2110,1651,2752
"2025-02",1560,1302,1928,1402,1045,1880
"2025-03",1086,801,1500,1530,1268,1845
"2025-04",2447,1849,3271,2746,2242,3388
"2025-05",4026,2761,6501,2987,2435,3710
"2025-06",2710,1847,4065,2379,1819,3135
"2025-07",6241,3908,11272,5144,3966,6841
"2025-08",7947,4802,13861,5368,4179,7072
"2025-09",2858,1831,4963,2129,1570,2917
