"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",11026.2951383396,6408.87974431806
"Shore (all-gear)",42541.3657046141,13895.6727396263
"Private Boat (ring-net)",583.905882352941,971.294117647059
"Private Boat (all-gear)",11885.8448275862,22070.2637173658
"Commercial/Charter",282.811594202899,12007.1197463768
"PORT TOTAL",66320.2231470957,55353.230065334
