"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1615,1296,2123,1182,955,1538
"2024-10",3195,2651,3976,2323,1944,2871
"2024-11",2725,2136,3538,2069,1636,2661
"2024-12",9757,8953,10897,2280,1872,2847
"2025-01",7320,6780,8108,2482,1996,3209
"2025-02",1680,1368,2174,1533,1186,2075
"2025-03",1865,1317,2845,2060,1641,2724
"2025-04",3526,2480,5258,3390,2661,4461
"2025-05",8150,5366,13400,3960,3145,5232
"2025-06",4410,2773,7494,3314,2410,4832
"2025-07",12707,7312,23882,7406,5580,10433
"2025-08",19280,12437,31660,8345,6542,11010
"2025-09",5873,3420,10982,3612,2721,5033
