"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"gear",0.752411575562701,0.983922829581994,0.499614147909968,0.222775725843274,311,311
"catch",0.742874469375379,0.989690721649485,0.497492419648272,0.27727852318134,1649,1649
