"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (ring_net_only)",4486,5010,11.7,5884,6586,11.9,"BSS"
"shore (all_gear)",18104,24010,32.6,15732,20654,31.3,"BSS"
"private_boat (ring_net_only)",584,NA,NA,971,NA,NA,"PE"
"private_boat (all_gear)",11886,14716,23.8,22070,43475,97,"BSS"
"comm_charter (census)",283,NA,NA,12007,NA,NA,"Census"
