"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,28978,23514,23,81.1
"boat pot-closure",76,13,885,689,17,77.9
"shore all-gear",289,145,17721,9094,50,51.3
"shore pot-closure",76,51,5945,1983,67,33.4
