"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",27691,41970,34745,51524
"Dungeness_Kept","Expected_Catch",45105,71287,52322,100641
"Dungeness_Kept","Predictive_Catch",NA,71276,52322,100759
