"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",48135,31113,75145,0.675
"Trap",11494,10220,13061,0.161
"Ring Net",9404,7674,11911,0.132
"Snare",1959,1684,2299,0.027
"Other",288,124,623,0.004
