"Series","Opener","n_opener","mean_opener","n_other","mean_other","raw_diff","raw_pct","t_p"
"Shore gear (effort)","MA2 salmon open",33,186.818181818182,164,59.7560975609756,127.062084257206,212.634508348794,2.57014404392595e-09
"Shore gear (effort)","MA2 halibut open",23,150.95652173913,174,71.7988505747126,79.1576711644178,110.24921782285,0.000262047835060508
"Shore gear (effort)","MA2 bottomfish open",103,124.660194174757,94,33.2446808510638,91.4155133236935,274.97786407767,6.42669169334028e-16
"Shore gear (effort)","Razor dig (nearby beaches)",69,66.4057971014493,128,88.9296875,-22.5238903985507,-25.3277516561055,0.0459741183967478
"Boat trailers (effort)","MA2 salmon open",32,61.375,154,3.87012987012987,57.5048701298701,1485.86409395973,6.77774064124592e-08
"Boat trailers (effort)","MA2 halibut open",22,61.3181818181818,164,7.38414634146341,53.9340354767184,730.403122888672,7.66346605685344e-05
"Boat trailers (effort)","MA2 bottomfish open",100,24.65,86,1.1046511627907,23.5453488372093,2131.47368421053,1.51691564037087e-08
"Boat trailers (effort)","Razor dig (nearby beaches)",64,3.875,122,18.9508196721311,-15.0758196721311,-79.5523356401384,4.93417743457388e-05
"Shore CPUE","MA2 salmon open",885,0.831822665720971,2712,0.886313906609326,-0.0544912408883548,-6.14807468121717,0.205548150399322
"Shore CPUE","MA2 halibut open",527,0.911939673229996,3070,0.866206568760698,0.0457331044692979,5.27969956805215,0.370661637243938
"Shore CPUE","MA2 bottomfish open",2214,0.857793123134666,1383,0.897102240974258,-0.039309117839592,-4.38178794391396,0.286913223768108
"Shore CPUE","Razor dig (nearby beaches)",1365,0.900270901259912,2232,0.856172308990936,0.0440985922689758,5.15066789779143,0.237539223961792
"Boat CPUE","MA2 salmon open",32,2.45052083333333,130,3.41708791208791,-0.966567078754579,-28.2862807051395,0.0506662915297066
"Boat CPUE","MA2 halibut open",19,3.30701754385965,143,3.21541791541792,0.0915996284417337,2.84876276898608,0.914857239817378
"Boat CPUE","MA2 bottomfish open",73,2.68401826484018,89,3.67084002140182,-0.986821756561636,-26.8827230499898,0.0278602497594925
"Boat CPUE","Razor dig (nearby beaches)",62,3.6389400921659,100,2.9702380952381,0.668701996927803,22.5134139246234,0.170221088680112
