"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1719,1179,3016,1241,934,1706
"2024-10",3001,2340,4048,2139,1743,2678
"2024-11",2659,2040,3723,1976,1547,2519
"2024-12",8947,8264,9980,2172,1794,2666
"2025-01",7020,6499,7793,2480,1984,3180
"2025-02",1608,1343,2034,1523,1199,1995
"2025-03",1556,1118,2264,2029,1639,2642
"2025-04",2921,2091,4191,3293,2568,4278
"2025-05",5567,3285,10015,3428,2581,4656
"2025-06",4660,2706,8236,3637,2553,5329
"2025-07",11417,5856,22997,7141,4779,10508
"2025-08",14604,7538,27919,7419,5020,10878
"2025-09",4197,2367,8339,2858,1943,4244
