"population","subseason","gear_type","BSS_median","BSS_lo95","BSS_hi95","PE_catch","method"
"shore","ring_net_only","All",6133,3384,11296,NA,"BSS"
"shore","all_gear","All",19846,12757,31116,NA,"BSS"
"private_boat","ring_net_only","All",956,297,3276,NA,"BSS"
"private_boat","all_gear","Pot",NA,NA,NA,10478,"PE (weighted proportional)"
"private_boat","all_gear","Ring Net",NA,NA,NA,695,"PE (weighted proportional)"
"private_boat","all_gear","Trap",NA,NA,NA,3,"PE (weighted proportional)"
"comm_charter","census","Pot",NA,NA,NA,11821,"Census (day-type stratified)"
