"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,31268,25396,23,81.2
"boat pot-closure",76,13,795,567,17,71.3
"shore all-gear",289,145,19484,10558,50,54.2
"shore pot-closure",76,51,5951,1977,67,33.2
