"component","PE_effort","BSS_effort","effort_diff_pct","PE_catch","BSS_catch","catch_diff_pct","method_selected"
"shore (Pot closure)",4661,4768,2.3,5959,6133,2.9,"BSS"
"shore (All gear)",18863,24018,27.3,15755,19846,26,"BSS"
"private_boat (Pot closure)",180,390,116.3,400,956,138.8,"BSS"
"private_boat (All gear)",3711,11832,218.9,11176,32689,192.5,"PE"
"comm_charter (census)",279,NA,NA,11821,NA,NA,"Census (day-type stratified)"
