"stream","n_obs","elpd_loo","se_elpd_loo","p_loo","n_pareto_k_gt_0.7","sum_lpd"
"trailer",195,-548.97265485775,22.995318700647,28.0245986726407,2,-520.95
"catch",145,-521.799376870063,15.3010215372498,10.5588124763823,0,-511.24
