"chain","n_iter","divergent","mean_accept_stat","mean_treedepth","max_treedepth","mean_n_leapfrog","mean_stepsize","ebfmi","ebfmi_low_flag"
1,1500,84,0.958100261966215,9.83666666666667,10,979.844666666667,0.00550654831893955,0.77980501301681,FALSE
2,1500,63,0.971850232599892,9.91333333333333,10,1000.14866666667,0.00460642630554401,0.65314467524963,FALSE
3,1500,34,0.986737884404852,10.2553333333333,11,1463.64133333333,0.00298946528311451,0.751196064750248,FALSE
4,1500,54,0.955725455117816,8.94266666666667,10,506.659333333333,0.00640349839465674,0.861583788633492,FALSE
