"parameter","mean","lo95","median","hi95","n_eff","Rhat"
"mu_mu_E[1]",3.04798920574256,1.06769236815229,3.01863166463993,5.08184469257668,2562,0.9999
"mu_mu_C[1]",-0.429771225546117,-2.56033091962691,-0.394225477430486,1.66416974381141,2067,1.0004
"sigma_eps_E",0.181016102658479,0.00745310612256931,0.149548424262135,0.512169241799826,460,1.0095
"sigma_eps_C",0.196184517299302,0.0756278306307614,0.196410353532477,0.316535654027505,1527,1.0003
"phi_E",0.181388633337389,-0.693242169253627,0.233001652991151,0.852877289023536,1788,1.0011
"phi_C",0.31780822323782,-0.363079587564218,0.361795545432345,0.806032956454002,1428,1.0021
"sigma_r_E",0.523875486399358,0.278562515004375,0.535235338507235,0.691280004130523,544,1.0093
"sigma_r_C",0.798992288180093,0.730523392609993,0.798396620349943,0.869279662959712,6593,0.9997
"r_E",4.8202189955907,2.09262790787407,3.4906832427913,12.8870863829198,544,1.0074
"r_C",1.5756744527968,1.32336903698474,1.56878208154704,1.87383672315418,6551,0.9997
"sigma_mu_E",1.10587330864767,0.0229006121142603,0.684954481721638,5.09948493123339,4183,1
"sigma_mu_C",1.20478766098845,0.0320615132705128,0.732462886002828,5.37734955821538,4050,1.0003
"sigma_IE",0.153763345511128,0.00938464549231549,0.112297479235123,0.535281933027796,2488,1.0015
"R_G",1.32058020416409,1.27055234801247,1.32018817317383,1.37186686648908,8211,0.9999
"R_T",0.833316078978019,0.813577898393093,0.833295088754226,0.852889580205501,7457,0.9995
"B1",0.469370315246495,0.140821707461561,0.470677468620449,0.785082686473039,3336,0.9999
"B2",0.144263628246433,-0.836925867367862,0.124545249831149,1.25190619048625,5180,1.0003
"B1_C",-0.301250606255602,-0.499686870189101,-0.300500091952595,-0.104346972360138,4389,1.0001
