"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",3411,3103,3977,6185,5724,7070
"2024-10",6079,5579,6756,10998,10254,12012
"2024-11",3413,2827,4171,5615,4779,6659
"2024-12",9120,8579,10191,7134,6612,8058
"2025-01",7543,7099,8440,5868,5448,6590
"2025-02",1805,1627,2194,3152,2928,3568
"2025-03",2023,1564,3133,4909,4462,5712
"2025-04",4468,3143,7391,8782,7518,11168
"2025-05",5041,3345,8969,9830,8094,13437
"2025-06",4994,2252,13432,8703,5482,18081
"2025-07",18602,9051,41546,31443,21103,57136
"2025-08",17024,8944,31013,32043,24609,44847
"2025-09",7778,3618,16042,15522,11839,22064
