"param","median_bulk","median_div","smd","distortion_C","distortion_E"
"sigma_IE",0.116242975038084,0.0293848640235909,-0.610481832452244,0.00312811450957086,0.00647779873678747
"sigma_mu_C",0.729564719309954,0.843225184276974,0.214969145114991,0.00312811450957086,0.00647779873678747
"phi_E",0.227426080648144,0.367961030955243,0.186739915114269,0.00312811450957086,0.00647779873678747
"sigma_r_E",0.535935248118331,0.510474308759821,-0.160859420132518,0.00312811450957086,0.00647779873678747
"sigma_eps_E",0.147798757329693,0.186836865579211,0.153072039145609,0.00312811450957086,0.00647779873678747
"phi_C",0.360685974174407,0.388342208912133,0.123487438669514,0.00312811450957086,0.00647779873678747
"sigma_eps_C",0.196472940479283,0.191918967504628,-0.111151326141322,0.00312811450957086,0.00647779873678747
"sigma_mu_E",0.684736064598596,0.692124569351173,0.0989878693612652,0.00312811450957086,0.00647779873678747
"R_G",1.32018235767282,1.32061286796018,-0.0861784255599962,0.00312811450957086,0.00647779873678747
"sigma_r_C",0.798315101638977,0.802147169323155,0.0785936454663674,0.00312811450957086,0.00647779873678747
"r_C",1.56910248536221,1.55414626650616,-0.0770230310850774,0.00312811450957086,0.00647779873678747
"R_T",0.83329579849275,0.833282326426656,0.0117462467555452,0.00312811450957086,0.00647779873678747
"r_E",3.48157181195668,3.83753386093708,-0.0115634851560354,0.00312811450957086,0.00647779873678747
