"gear_type","catch","has_BSS","proportion"
"All",62948,TRUE,0.715
"Pot",12007,FALSE,0.136
"Trap",6542,FALSE,0.074
"Ring Net",5252,FALSE,0.06
"Snare",1351,FALSE,0.015
