"Component","Effort_hrs","Dungeness"
"Shore (ring-net)",9280.95514018692,12174.3396551606
"Shore (all-gear)",37825.1482427338,32937.2558697635
"Private Boat (ring-net)",583.905882352941,971.294117647059
"Private Boat (all-gear)",11885.8448275862,22070.2637173658
"Commercial/Charter",282.811594202899,12007.1197463768
"PORT TOTAL",59858.6656870628,80160.2731063138
