"data_type","coverage_50","coverage_95","pit_mean","pit_sd","n","n_obs"
"gear",0.576923076923077,0.980769230769231,0.526322115384615,0.262125247606354,52,52
"catch",0.653907496012759,0.9792663476874,0.501844098883573,0.283214704785353,627,627
