"Mode","PE_Catch","PE_Effort"
"Shore (Dock/Jetty/Beach)",49981.1820772099,139570.43201125
"Private Boat",12106.6414013611,36355.2491535868
"Commercial/Charter",12007.1197463768,282.811594202899
"PORT TOTAL",74094.9432249478,176208.49275904
