"chain","n_iter","divergent","mean_accept_stat","mean_treedepth","max_treedepth","mean_n_leapfrog","mean_stepsize","ebfmi","ebfmi_low_flag"
1,1000,11,0.933972125347007,7.944,9,260.62,0.0144881195922855,0.813751696737304,FALSE
2,1000,34,0.908605773603011,7.696,8,233.988,0.0191778564551189,0.731809056703681,FALSE
3,1000,41,0.891125907950269,7.631,9,234.577,0.0193684275915187,0.739913539509178,FALSE
4,1000,23,0.926722928981869,7.87,9,248.004,0.0170409134939689,0.821342263815524,FALSE
