"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95","composition","effort_units_note"
"Dungeness_Kept","Effort (mixed units; see effort_units_note)",59859,78843,73418,85118,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row mixes crabber-hours (shore) and gear-deployments (boat)"
"Dungeness_Kept","Catch",80160,88238,75656,106266,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row mixes crabber-hours (shore) and gear-deployments (boat)"
