"population","subseason","gear_type","BSS_median","BSS_lo95","BSS_hi95","PE_catch","method"
"shore","ring_net_only","Ring Net",NA,NA,NA,4844,"PE (weighted proportional)"
"shore","ring_net_only","Trap",NA,NA,NA,7137,"PE (weighted proportional)"
"shore","ring_net_only","Snare",NA,NA,NA,1422,"PE (weighted proportional)"
"shore","all_gear","Pot",NA,NA,NA,9665,"PE (weighted proportional)"
"shore","all_gear","Ring Net",NA,NA,NA,6515,"PE (weighted proportional)"
"shore","all_gear","Trap",NA,NA,NA,15995,"PE (weighted proportional)"
"shore","all_gear","Snare",NA,NA,NA,4402,"PE (weighted proportional)"
"private_boat","ring_net_only","Ring Net",NA,NA,NA,829,"PE (weighted proportional)"
"private_boat","ring_net_only","Trap",NA,NA,NA,58,"PE (weighted proportional)"
"private_boat","ring_net_only","Snare",NA,NA,NA,58,"PE (weighted proportional)"
"private_boat","all_gear","All",155038,100717,250903,NA,"BSS"
"comm_charter","census","Pot",NA,NA,NA,12007,"Census"
