"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1356,998,1998,1040,777,1504
"2024-10",2700,2144,3484,1991,1597,2508
"2024-11",2403,1841,3167,1824,1422,2346
"2024-12",8874,8242,9750,2070,1687,2614
"2025-01",6757,6378,7309,2335,1849,3074
"2025-02",1568,1300,2003,1464,1128,1989
"2025-03",1349,990,1956,1913,1506,2564
"2025-04",2451,1787,3524,2842,2196,3905
"2025-05",3545,2559,5123,2882,2211,4067
"2025-06",2713,1763,4443,2651,1860,4124
"2025-07",4925,3362,7642,4234,3238,5913
"2025-08",6268,4576,8966,4310,3485,5618
"2025-09",2538,1745,3802,1927,1502,2621
