"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95"
"Dungeness_Kept","Effort",25367,32200,29431,35925
"Dungeness_Kept","Expected_Catch",41047,48045,43967,53274
"Dungeness_Kept","Predictive_Catch",NA,48065,43964,53305
