"Component","Effort_hrs","Dungeness"
"Shore (Pot closure)",4485.73333333333,5868.69851125377
"Shore (All gear)",18104.0555555556,15664.5579221061
"Private Boat (Pot closure)",116.781176470588,233.99614973262
"Private Boat (All gear)",2377.16896551724,7293.57078137655
"Commercial/Charter",282.811594202899,11985.6830227743
"PORT TOTAL",25366.5506250796,41046.5063872434
