"gear_primary","PE_Catch","lo95","hi95","Proportion"
"Pot",27107,24666,30781,0.565
"Trap",11366,10058,13089,0.237
"Ring Net",7543,6711,8633,0.157
"Snare",1864,1620,2181,0.039
"Other",119,77,184,0.002
