"Catch_Group","Estimate","PE","BSS_median","BSS_lo95","BSS_hi95","composition","effort_units_note"
"Dungeness_Kept","Effort (gear-deployments)",26614,33702,30100,38053,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row is gear-deployments for both shore and boat (v5.5+)"
"Dungeness_Kept","Catch",44810,52634,44118,66187,"BSS where gate passed; PE otherwise; census for comm/charter","Effort row is gear-deployments for both shore and boat (v5.5+)"
