"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat"
"C_sum",14440.0155,69.147826172932,5564.96750283294,5776.625,10413.75,13800.5,17707,27136.725,6476.91506534754,0.999773873006176
"E_sum",4919.71028734518,19.7712949021437,1724.09727665188,2012.44910239332,3660.74713364194,4791.5486293784,6011.28338724447,8640.25925883517,7604.19602488778,0.999610338675758
"C_sum_gear[1]",14440.0155,69.147826172932,5564.96750283294,5776.625,10413.75,13800.5,17707,27136.725,6476.91506534754,0.999773873006176
"B1",0.352906610177017,0.0014977896358777,0.110640156902599,0.139049813111214,0.279289418714355,0.35332728902969,0.4278451869878,0.568512290692866,5456.62267953672,0.999815127935631
"B2",0.592725880266931,0.0039555186611486,0.280414893966959,0.0618950075194073,0.400544870698005,0.584933422377585,0.780484576220532,1.1517131205788,5025.68516428747,0.999510347616487
"r_C_gear_out[1]",1.71753563875595,0.00437593271703659,0.286497668750998,1.23082313834844,1.51413468687095,1.69328004249963,1.89524151355405,2.32797067535463,4286.48110098928,1.00015586224582
"sigma_eps_C_gear_out[1]",0.435426805736693,0.00599381268262335,0.19397130179707,0.117385138046187,0.307340229419663,0.40822949295037,0.534513338012754,0.887616383078364,1047.29403094653,1.00457651003235
