"Fit","days total","days sampled","catch total","catch extrapolated","% days sampled","% catch extrapolated"
"boat all-gear",289,66,12444,10082,23,81
"shore all-gear",289,145,19048,10015,50,52.6
"shore pot-closure",76,51,5861,1864,67,31.8
