"Month","BSS_Catch_median","BSS_Catch_lo95","BSS_Catch_hi95","BSS_Effort_median","BSS_Effort_lo95","BSS_Effort_hi95"
"2024-09",1396,1016,2041,1063,791,1544
"2024-10",2766,2191,3525,2024,1626,2555
"2024-11",2401,1824,3201,1820,1407,2375
"2024-12",8904,8194,9843,2067,1616,2678
"2025-01",6634,6254,7167,2109,1650,2751
"2025-02",1560,1303,1928,1401,1045,1877
"2025-03",1064,789,1455,1522,1265,1835
"2025-04",2327,1782,3042,2682,2197,3310
"2025-05",3891,2693,5924,2959,2412,3635
"2025-06",3146,2100,5009,2557,1956,3343
"2025-07",6960,4330,12342,5466,4176,7194
"2025-08",8128,4968,14176,5444,4222,7070
"2025-09",2800,1812,4718,2108,1570,2822
