"rung","folder","requested_res","fitted_res","P_n","zi_tracks","theta_C","shore_pc","shore_ag","boat_pc","boat_ag","census","port","port_lo95","port_hi95","n_fits_bss","n_fits","gate_all_pass","p_loo_frac","p_loo_stream","n_pareto_bad","catch_n_obs","pit_worst_bias","cov50_worst_dev","disp_neff_min","divergences","divergence_fraction","zero_obs","zero_exp","zero_z","one_obs","one_exp","one_z"
"G1","gear-type-CPUE-model-GZ-G1-month","month","monthly",10,"pooled",0,9036,28334,1295,45374,8538,93278,76693,117484,4,4,TRUE,0.0368,"gear",0,1651,0.008,0.0788,9443,8,0.001,681,615.05555,3.48572395647424,236,331.58281,-5.89379817352514
"G3","gear-type-CPUE-model-GZ-G3-weekly","weekly","weekly",44,"pooled",0,9036,29266,1295,53584,8538,102430,83304,128080,4,4,TRUE,0.0938,"gear",0,1651,0.0098,0.0627,10161,6,8e-04,681,611.5615,3.69336935231619,236,335.83334,-6.12973345152659
"G2","gear-type-CPUE-model-GZ-G2-biweekly","biweekly","biweekly",21,"pooled",0,9036,29500,1295,49608,8538,98568,80144,123946,4,4,TRUE,0.0568,"gear",0,1651,0.01,0.0572,10544,11,0.0014,681,614.83385,3.49876812718469,236,332.63739,-5.95229377002242
"G4","gear-type-CPUE-model-GZ-G4-daily","daily","daily",289,"pooled",0,9036,29266,1295,56822,8538,105756,87216,128778,4,4,TRUE,0.3453,"gear",39,1651,0.0016,0.201,3585,24,0.003,681,609.90575,3.79358026825273,236,338.05268,-6.25179598678601
"G5","gear-type-CPUE-model-GZ-G5-zi","weekly","weekly",44,"pooled+gear_resolved",0.170040484686269,9003,29206,1295,53584,8538,102229,83370,127433,4,4,TRUE,0.0946,"gear",0,1651,0.0092,0.0691,6152,7,9e-04,681,642.03358,2.02638976281666,236,286.86629,-3.334207399832
