"rung","folder","shore_pc","shore_ag","boat_pc","boat_ag","census","port","port_lo95","port_hi95","tau_bar","sigma_f"
"R1","pooled-CPUE-IMP-R1-filters-newf",6343,21502,1070,43668,7884,80715,66042,103228,2.61174401960384,0.691508138809121
"R2","pooled-CPUE-IMP-R2-tau-calib-newf",6343,21502,1372,45604,7884,83336,67624,107227,2.97714150214609,0.701439293234607
"R2f","pooled-CPUE-IMP-R2f-legacy-f-newf",6343,21502,1290,33641,7884,71179,50627,104722,2.97506112641162,0
"R4","pooled-CPUE-IMP-R4-shore-tau-newf",8963,29210,1372,45604,8538,94376,77566,118602,2.97714150214609,0.701439293234607
