"stage","f_method","model","run_tag","digest","tau_boat_prior_mu","tau_boat_prior_sigma","shared_tau_sigma","tau_shore_prior_mu","f_strata","f_source","f_dynamic","census_uncertainty","charter_frame","charter_expansion","pe_effort_fill","pe_cpue_fill","pe_variance","headline"
"R4","new_throughout","pooled","IMP-R4-shore-tau-newf","R4|new_throughout|04cc4a57","calibration",0.5,0.15,"derived","month","both",TRUE,"charter","roster","vessel","local_day_type","local","impute_aware","+ item 2: shore turnover derived from the I/E time column (the shipped configuration)"
"R1","new_throughout","pooled","IMP-R1-filters-newf","R1|new_throughout|04971140","1.2",0.3,NA,"1.7","month","both",TRUE,"none","tally","pooled","local_day_type","local","impute_aware","pre-patch turnover priors + item 8 (filters) + the NEW f (dynamic monthly)"
"R2","new_throughout","pooled","IMP-R2-tau-calib-newf","R2|new_throughout|04aa1a58","calibration",0.5,0.15,"1.7","month","both",TRUE,"none","tally","pooled","local_day_type","local","impute_aware","+ item 3: boat turnover prior from the OSP/trailer calibration"
"R2f","new_throughout","pooled","IMP-R2f-legacy-f-newf","R2f|new_throughout|04a56a99","calibration",0.5,0.15,"1.7","none","ie",FALSE,"none","tally","pooled","local_day_type","local","impute_aware","control: R2 with the f block rolled back (the factorization proof)"
"R5","new_throughout","gear_resolved","IMP-R5-gear-crosscheck-newf","R5|new_throughout|04d9527d","calibration",0.5,0.15,"derived","month","both",TRUE,"charter","roster","vessel","local_day_type","local","impute_aware","gear-resolved cross-check on the R4 configuration"
