"stage","plan_item","model","run_tag","ok","minutes","outdir","port_BSS_catch","port_BSS_lo95","port_BSS_hi95","port_PE_catch","shore_ag_BSS","shore_pc_BSS","boat_ag_BSS","boat_pc_BSS","shore_ag_reported","boat_ag_reported","boat_pc_reported","shore_ag_method","boat_ag_method","boat_pc_method","boat_ag_ar","boat_pc_ar","shore_ag_ar","shore_ag_n_informed","boat_ag_n_informed","boat_pc_n_informed","shore_ag_shared_tau","boat_ag_shared_tau","boat_pc_shared_tau","boat_tau_bar","boat_tau_lo95","boat_tau_hi95","boat_tau_neff","boat_tau_Rhat","boat_r_OSP","boat_r_OSP_hi95","boat_sigma_r_OSP_neff","boat_kappa_OSP","boat_kappa_decoupled","pit_trailer","pit_osp","pit_catch","boat_ag_div","boat_ag_neff","boat_p_loo_frac","boat_p_loo_stream","boat_pareto_bad","boat_disp_neff","boat_disp_par","fits_passed","ar_resolutions","empty_effort_note"
"S2","5.2","pooled","S5-2-tau-pooled",TRUE,262,"pooled-CPUE-S5-2-tau-pooled",71521,52350,100759,45112,20898,6331,31008,1018,TRUE,TRUE,TRUE,"BSS","BSS","BSS","monthly","monthly","daily",4,130,18,0,1,1,2.59693923159001,2.0644171958814,3.24879416685704,16750,0.9997,1.54043029557196,2.03001961094764,16658,3.01281682465897,TRUE,0.483532051282051,0.519615384615385,0.508206106870229,39,15381,0.0801,"catch",1,11125,"sigma_r_C","4","biweekly, daily, monthly","shore_ring_net_only 0/76; shore_all_gear 44/289; private_boat_ring_net_only 9/76; private_boat_all_gear 47/289"
"S3","5.2","gear_resolved","S5-3-tau-gear",TRUE,28.5,"gear-type-CPUE-model-S5-3-tau-gear",70886,52584,99966,45112,20754,6332,30760,956,TRUE,TRUE,TRUE,"BSS","BSS","BSS","monthly","biweekly","monthly",4,130,18,0,1,1,2.59624617720067,2.06068063372116,3.25027000942859,19292,0.9997,1.53060790419731,2.01320471619634,20033,2.99727260034527,TRUE,0.485782051282051,0.520163461538461,0.509599236641221,2,15124,0.0773,"catch",1,13262,"sigma_r_C",NA,NA,"shore_ring_net_only 0/76; shore_all_gear 44/289; private_boat_ring_net_only 9/76; private_boat_all_gear 47/289"
"S4a","5.3","pooled","S5-4a-daily-tauoff",TRUE,327.1,"pooled-CPUE-S5-4a-daily-tauoff",77486,55114,110809,45112,20898,6331,37359,849,TRUE,TRUE,TRUE,"BSS","BSS","BSS","daily","monthly","daily",4,130,18,0,0,0,NA,NA,NA,NA,NA,10.6074090817842,1405.54105750429,307,2.97944077866656,TRUE,0.405044871794872,0.556317307692308,0.512146946564885,154,15558,0.1631,"trailer",2,307,"sigma_r_OSP","4","biweekly, daily, monthly","shore_ring_net_only 0/76; shore_all_gear 44/289; private_boat_ring_net_only 9/76; private_boat_all_gear 47/289"
"S4b","5.3","pooled","S5-4b-daily-tauon",TRUE,535.1,"pooled-CPUE-S5-4b-daily-tauon",82738,57580,118316,45112,20898,6331,42344,1018,TRUE,TRUE,TRUE,"BSS","BSS","BSS","daily","monthly","daily",4,130,18,0,1,1,3.23159867457435,2.87282390024397,3.63174900828794,14025,0.9997,133.719865995985,43875.3976585375,657,3.01100013192921,TRUE,0.499102564102564,0.495413461538462,0.516679389312977,130,19239,0.2691,"trailer",16,657,"sigma_r_OSP","4","biweekly, daily, monthly","shore_ring_net_only 0/76; shore_all_gear 44/289; private_boat_ring_net_only 9/76; private_boat_all_gear 47/289"
"S5","5.6","pooled","S5-5-boatpc-ar",TRUE,248.5,"pooled-CPUE-S5-5-boatpc-ar",65988,50167,91060,45112,20898,6331,25868,735,TRUE,TRUE,TRUE,"BSS","BSS","BSS","monthly","biweekly","daily",4,130,18,0,0,0,NA,NA,NA,NA,NA,1.61666057045681,2.20753667875176,12463,3.00818648707559,TRUE,0.425397435897436,0.582490384615385,0.508024809160305,97,12365,0.0797,"catch",1,9574,"sigma_r_C","4","biweekly, daily, monthly","shore_ring_net_only 0/76; shore_all_gear 44/289; private_boat_ring_net_only 9/76; private_boat_all_gear 47/289"
