"stage","item","model","run_tag","ok","minutes","outdir","port_BSS_catch","shore_ag_BSS","shore_pc_BSS","boat_ag_BSS","boat_pc_BSS","boat_ag_reported","boat_ag_method","shore_ag_ar","boat_ag_ar","shore_ag_div","shore_ag_p_loo_frac","shore_ag_bad_k","shore_ag_cov50_gear","shore_ag_cov50_catch","shore_ag_reported","shore_ag_elpd_gear","shore_ag_elpd_catch","shore_ag_se_elpd_gear","shore_ag_se_elpd_catch","shore_ag_ploo_gear","shore_ag_ploo_catch","shore_ag_phi_E","shore_ag_sigma_eps_E","shore_ag_disp_scale","shore_ag_theta_C","shore_ag_theta_lo95","shore_ag_theta_hi95","shore_ag_zero_obs","shore_ag_zero_exp","shore_ag_zero_z","shore_pc_theta_C","boat_tau_bar","boat_ag_div","boat_tau_neff","fits_passed"
"G1","gear fix","gear_resolved","SZ-G1-gearfix",TRUE,26.5,"gear-type-CPUE-model-SZ-G1-gearfix",70953,20754,6332,30760,956,TRUE,"BSS","monthly","monthly",10,0.0364,0,0.578778135048232,0.448756822316556,TRUE,-1352.52343298659,-3187.8357885282,16.0683897623345,46.8903727619963,11.3141324774459,9.79059724855629,0.453232987211759,0.342923211465152,0.4764,NA,NA,NA,676,612.37629,3.36694114133464,NA,2.59624617720067,2,19292,NA
"Z0","zinb","pooled","SZ-Z0-zi-off",TRUE,263.9,"pooled-CPUE-SZ-Z0-zi-off",71450,20898,6331,31008,1018,TRUE,"BSS","daily","monthly",333,0.3519,41,0.704180064308682,0.456033959975743,TRUE,-1251.31270495551,-3162.5206835814,16.4659588400368,46.7238086007342,109.425545384796,44.1728474827552,0.648335030303973,0.45091627409174,0.2339,NA,NA,NA,676,605.51411,3.76718831467258,NA,2.59693923159001,39,16750,"4"
"A1","shore AR","pooled","SZ-A1-shore-ladder",TRUE,883,"pooled-CPUE-SZ-A1-shore-ladder",71535,20898,6331,31008,1018,TRUE,"BSS","daily","monthly",333,0.3519,41,0.694533762057878,0.455427531837477,TRUE,-1251.31270495551,-3162.5206835814,16.4659588400368,46.7238086007342,109.425545384796,44.1728474827557,0.648335030303973,0.45091627409174,0.2339,NA,NA,NA,676,605.06027,3.79238955947993,NA,2.59693923159001,39,16750,"4"
"Z1","zinb","pooled","SZ-Z1-zi-shore",TRUE,242.4,"pooled-CPUE-SZ-Z1-zi-shore",71326,20745,6320,31008,1018,TRUE,"BSS","daily","monthly",468,0.3437,26,0.691318327974277,0.406913280776228,TRUE,-1249.14737069448,-3147.75030761905,16.3472026020528,46.2550240634242,106.888830894508,55.4780559821663,0.652999345451667,0.451061911022826,0.2344,0.179023360995884,0.124804365665674,0.225404611068986,676,418.9779,15.4208359771014,0.106895101322445,2.59693923159001,39,16750,"4"
