"tau_boat_prior_mu","scale_factor","boat_catch_median","boat_lo95","boat_hi95","boat_pct_change","port_total_median","port_lo95","port_hi95","port_pct_change","is_current_prior"
2,0.6601,35369,23887,51395,-34,84182,70409,102235,-17.8,FALSE
2.4,0.7921,42443,28664,61674,-20.8,91285,75467,112218,-10.9,FALSE
2.7,0.8911,47748,32247,69383,-10.9,96611,79235,119782,-5.7,FALSE
3,0.9901,53053,35830,77092,-1,101896,82938,127347,-0.5,FALSE
3.4,1.1221,60127,40608,87371,12.2,108978,87805,137548,6.4,FALSE
