"day_index","event_date","cpue_model_median","cpue_model_lo95","cpue_model_hi95","cpue_raw_interview","n_interviews"
1,"2024-12-01",1.07294998107369,0.751649367990825,1.55929067361107,1.24462365591398,31
2,"2024-12-02",1.56668942895297,1.18822847474056,2.08905802529898,0,1
3,"2024-12-03",1.56668942895297,1.18822847474056,2.08905802529898,1.68181818181818,11
4,"2024-12-04",1.56668942895297,1.18822847474056,2.08905802529898,1.91666666666667,13
5,"2024-12-05",1.56668942895297,1.18822847474056,2.08905802529898,0.933333333333333,10
6,"2024-12-06",1.56668942895297,1.18822847474056,2.08905802529898,1.72727272727273,11
7,"2024-12-07",1.02211923703107,0.756257853913571,1.39801961666833,1,4
8,"2024-12-08",1.02211923703107,0.756257853913571,1.39801961666833,NA,0
9,"2024-12-09",1.5788499436548,1.20171351564561,2.0973152517209,NA,0
10,"2024-12-10",1.5788499436548,1.20171351564561,2.0973152517209,0.777777777777778,9
11,"2024-12-11",1.5788499436548,1.20171351564561,2.0973152517209,1.54166666666667,6
12,"2024-12-12",1.5788499436548,1.20171351564561,2.0973152517209,1.87797619047619,14
13,"2024-12-13",1.5788499436548,1.20171351564561,2.0973152517209,1.65151515151515,11
14,"2024-12-14",1.02835364262817,0.77443454840924,1.38024983549404,2.375,6
15,"2024-12-15",1.02835364262817,0.77443454840924,1.38024983549404,0.333333333333333,6
16,"2024-12-16",1.44153720177047,1.03040929333308,2.05581390019373,NA,0
17,"2024-12-17",1.44153720177047,1.03040929333308,2.05581390019373,NA,0
18,"2024-12-18",1.44153720177047,1.03040929333308,2.05581390019373,2.44444444444444,6
19,"2024-12-19",1.44153720177047,1.03040929333308,2.05581390019373,NA,0
20,"2024-12-20",1.44153720177047,1.03040929333308,2.05581390019373,1.39583333333333,8
21,"2024-12-21",0.942555175917181,0.66333197088421,1.35417592450089,0.958333333333333,6
22,"2024-12-22",0.942555175917181,0.66333197088421,1.35417592450089,0.366666666666667,5
23,"2024-12-23",1.16995472704317,0.87736819605415,1.58552099344701,0.925925925925926,9
24,"2024-12-24",1.16995472704317,0.87736819605415,1.58552099344701,0.997222222222222,6
25,"2024-12-25",1.16995472704317,0.87736819605415,1.58552099344701,NA,0
26,"2024-12-26",1.16995472704317,0.87736819605415,1.58552099344701,1.15333333333333,5
27,"2024-12-27",1.16995472704317,0.87736819605415,1.58552099344701,1.10526315789474,19
28,"2024-12-28",0.763160347853486,0.564529468508183,1.04292024189132,0.666666666666667,12
29,"2024-12-29",0.763160347853486,0.564529468508183,1.04292024189132,NA,0
30,"2024-12-30",1.4405167132026,1.05834464516992,2.04086357596231,NA,0
31,"2024-12-31",0.941775667347885,0.696021108795353,1.30831614939579,1.08269230769231,39
32,"2025-01-01",0.652342729643104,0.475486727185831,0.898634487830476,1.07333333333333,15
33,"2025-01-02",1.00010117868651,0.724762731342106,1.3815254261599,0.595,10
34,"2025-01-03",1.00010117868651,0.724762731342106,1.3815254261599,0.977272727272727,11
35,"2025-01-04",0.652342729643104,0.475486727185831,0.898634487830476,0.479166666666667,8
36,"2025-01-05",0.652342729643104,0.475486727185831,0.898634487830476,NA,0
37,"2025-01-06",0.629836726152638,0.469176068446198,0.845535703766161,NA,0
38,"2025-01-07",0.629836726152638,0.469176068446198,0.845535703766161,0.0625,4
39,"2025-01-08",0.629836726152638,0.469176068446198,0.845535703766161,0.65,4
40,"2025-01-09",0.629836726152638,0.469176068446198,0.845535703766161,1.0625,4
41,"2025-01-10",0.629836726152638,0.469176068446198,0.845535703766161,0.708333333333333,12
42,"2025-01-11",0.411368990917793,0.304166844675714,0.546130017179353,0.282163742690059,57
43,"2025-01-12",0.411368990917793,0.304166844675714,0.546130017179353,NA,0
44,"2025-01-13",0.717500912159409,0.528536596864438,0.993517519947407,NA,0
45,"2025-01-14",0.717500912159409,0.528536596864438,0.993517519947407,0.633333333333333,15
46,"2025-01-15",0.717500912159409,0.528536596864438,0.993517519947407,NA,0
47,"2025-01-16",0.717500912159409,0.528536596864438,0.993517519947407,0.722222222222222,3
48,"2025-01-17",0.717500912159409,0.528536596864438,0.993517519947407,0.434343434343434,11
49,"2025-01-18",0.467738002872846,0.343717853134078,0.64831610934676,0.734375,16
50,"2025-01-19",0.467738002872846,0.343717853134078,0.64831610934676,NA,0
51,"2025-01-20",0.578636134765049,0.394920814726106,0.861877865870088,NA,0
52,"2025-01-21",0.578636134765049,0.394920814726106,0.861877865870088,0.5,2
53,"2025-01-22",0.578636134765049,0.394920814726106,0.861877865870088,0.5,7
54,"2025-01-23",0.578636134765049,0.394920814726106,0.861877865870088,0.111111111111111,6
55,"2025-01-24",0.578636134765049,0.394920814726106,0.861877865870088,NA,0
56,"2025-01-25",0.378579073521485,0.256021109333817,0.557403990410094,0.379464285714286,16
57,"2025-01-26",0.378579073521485,0.256021109333817,0.557403990410094,NA,0
58,"2025-01-27",0.598053863559172,0.406843602426391,0.892390347599362,NA,0
59,"2025-01-28",0.598053863559172,0.406843602426391,0.892390347599362,NA,0
60,"2025-01-29",0.598053863559172,0.406843602426391,0.892390347599362,0.397727272727273,11
61,"2025-01-30",0.598053863559172,0.406843602426391,0.892390347599362,0.787037037037037,9
62,"2025-01-31",0.598053863559172,0.406843602426391,0.892390347599362,0.622222222222222,3
63,"2025-02-01",0.389433979555058,0.263850642767023,0.588115430233019,0.25,4
64,"2025-02-02",0.389433979555058,0.263850642767023,0.588115430233019,NA,0
65,"2025-02-03",0.543447076746563,0.358817217433978,0.817683890876008,NA,0
66,"2025-02-04",0.543447076746563,0.358817217433978,0.817683890876008,NA,0
67,"2025-02-05",0.543447076746563,0.358817217433978,0.817683890876008,0,1
68,"2025-02-06",0.543447076746563,0.358817217433978,0.817683890876008,0.166666666666667,3
69,"2025-02-07",0.543447076746563,0.358817217433978,0.817683890876008,1.0625,4
70,"2025-02-08",0.353922552899551,0.23185258437331,0.531267248491491,0.295238095238095,21
71,"2025-02-09",0.353922552899551,0.23185258437331,0.531267248491491,NA,0
72,"2025-02-10",0.511276831007176,0.324091677313878,0.796243171582667,NA,0
73,"2025-02-11",0.511276831007176,0.324091677313878,0.796243171582667,0.2875,8
74,"2025-02-12",0.511276831007176,0.324091677313878,0.796243171582667,0.333333333333333,3
75,"2025-02-13",0.511276831007176,0.324091677313878,0.796243171582667,NA,0
76,"2025-02-14",0.511276831007176,0.324091677313878,0.796243171582667,0.12,5
77,"2025-02-15",0.334379000938165,0.208647540966026,0.521520352651687,0.583333333333333,6
78,"2025-02-16",0.334379000938165,0.208647540966026,0.521520352651687,NA,0
79,"2025-02-17",0.575866243623786,0.361802647085594,0.907924852854503,NA,0
80,"2025-02-18",0.575866243623786,0.361802647085594,0.907924852854503,NA,0
81,"2025-02-19",0.575866243623786,0.361802647085594,0.907924852854503,0,2
82,"2025-02-20",0.575866243623786,0.361802647085594,0.907924852854503,0.642857142857143,7
83,"2025-02-21",0.575866243623786,0.361802647085594,0.907924852854503,0.5,4
84,"2025-02-22",0.375180379997273,0.235624841151561,0.599121649477201,0.3125,4
85,"2025-02-23",0.375180379997273,0.235624841151561,0.599121649477201,NA,0
86,"2025-02-24",0.649636765067138,0.501455285367134,0.846011908524663,NA,0
87,"2025-02-25",0.649636765067138,0.501455285367134,0.846011908524663,0.125,2
88,"2025-02-26",0.649636765067138,0.501455285367134,0.846011908524663,0.75,13
89,"2025-02-27",0.649636765067138,0.501455285367134,0.846011908524663,1.45555555555556,6
90,"2025-02-28",0.649636765067138,0.501455285367134,0.846011908524663,0.572972972972973,37
91,"2025-03-01",0.423958479478378,0.322551900444678,0.561631622467294,0.295454545454545,22
92,"2025-03-02",0.423958479478378,0.322551900444678,0.561631622467294,NA,0
93,"2025-03-03",0.620402695655219,0.414982037471033,0.924821976900948,NA,0
94,"2025-03-04",0.620402695655219,0.414982037471033,0.924821976900948,0,1
95,"2025-03-05",0.620402695655219,0.414982037471033,0.924821976900948,0.25,2
96,"2025-03-06",0.620402695655219,0.414982037471033,0.924821976900948,0.191666666666667,5
97,"2025-03-07",0.620402695655219,0.414982037471033,0.924821976900948,0.722222222222222,3
98,"2025-03-08",0.404911352778219,0.268024532752963,0.607459762563909,0.411111111111111,15
99,"2025-03-09",0.404911352778219,0.268024532752963,0.607459762563909,NA,0
100,"2025-03-10",0.689075678608661,0.480454155488844,1.00948287745421,NA,0
101,"2025-03-11",0.689075678608661,0.480454155488844,1.00948287745421,1.33333333333333,6
102,"2025-03-12",0.689075678608661,0.480454155488844,1.00948287745421,0.333333333333333,3
103,"2025-03-13",0.689075678608661,0.480454155488844,1.00948287745421,NA,0
104,"2025-03-14",0.689075678608661,0.480454155488844,1.00948287745421,0.416666666666667,3
105,"2025-03-15",0.449417188600927,0.310726460084407,0.663471554506145,0.288541666666667,16
106,"2025-03-16",0.449417188600927,0.310726460084407,0.663471554506145,NA,0
107,"2025-03-17",0.698419364681032,0.479241988641005,1.03049608939731,NA,0
108,"2025-03-18",0.698419364681032,0.479241988641005,1.03049608939731,0.477777777777778,9
109,"2025-03-19",0.698419364681032,0.479241988641005,1.03049608939731,0.25,5
110,"2025-03-20",0.698419364681032,0.479241988641005,1.03049608939731,0.75,2
111,"2025-03-21",0.698419364681032,0.479241988641005,1.03049608939731,1.2,5
112,"2025-03-22",0.455205830044039,0.310312804261517,0.669937752286319,0.510416666666667,8
113,"2025-03-23",0.455205830044039,0.310312804261517,0.669937752286319,NA,0
114,"2025-03-24",0.817705677838965,0.593266072297294,1.14086376011639,NA,0
115,"2025-03-25",0.817705677838965,0.593266072297294,1.14086376011639,1.36111111111111,9
116,"2025-03-26",0.817705677838965,0.593266072297294,1.14086376011639,NA,0
117,"2025-03-27",0.817705677838965,0.593266072297294,1.14086376011639,0.541666666666667,8
118,"2025-03-28",0.817705677838965,0.593266072297294,1.14086376011639,0.888888888888889,12
119,"2025-03-29",0.5339822350885,0.386864341780252,0.753828059147366,0.627777777777778,15
120,"2025-03-30",0.5339822350885,0.386864341780252,0.753828059147366,NA,0
121,"2025-03-31",0.588379172669885,0.421436651150587,0.809142853002999,NA,0
122,"2025-04-01",0.588379172669885,0.421436651150587,0.809142853002999,0.6,7
123,"2025-04-02",0.588379172669885,0.421436651150587,0.809142853002999,1.66666666666667,3
124,"2025-04-03",0.588379172669885,0.421436651150587,0.809142853002999,0.283333333333333,15
125,"2025-04-04",0.588379172669885,0.421436651150587,0.809142853002999,0.4875,12
126,"2025-04-05",0.384086882529425,0.270552514512098,0.534072732318074,0.235827664399093,21
127,"2025-04-06",0.384086882529425,0.270552514512098,0.534072732318074,NA,0
128,"2025-04-07",0.789107161480828,0.526326771374768,1.16594552646496,NA,0
129,"2025-04-08",0.789107161480828,0.526326771374768,1.16594552646496,NA,0
130,"2025-04-09",0.789107161480828,0.526326771374768,1.16594552646496,NA,0
131,"2025-04-10",0.789107161480828,0.526326771374768,1.16594552646496,0.833333333333333,12
132,"2025-04-11",0.789107161480828,0.526326771374768,1.16594552646496,0.6,9
133,"2025-04-12",0.514736848906177,0.338475241518223,0.768542551808457,NA,0
134,"2025-04-13",0.514736848906177,0.338475241518223,0.768542551808457,NA,0
135,"2025-04-14",1.09851138820935,0.834434758040888,1.45498722249741,NA,0
136,"2025-04-15",1.09851138820935,0.834434758040888,1.45498722249741,0.652777777777778,6
137,"2025-04-16",1.09851138820935,0.834434758040888,1.45498722249741,NA,0
138,"2025-04-17",1.09851138820935,0.834434758040888,1.45498722249741,NA,0
139,"2025-04-18",1.09851138820935,0.834434758040888,1.45498722249741,NA,0
140,"2025-04-19",0.714303581630353,0.555240514734564,0.933486071158963,0.756985294117647,68
141,"2025-04-20",0.714303581630353,0.555240514734564,0.933486071158963,NA,0
142,"2025-04-21",1.21607202316734,0.866266812203901,1.79064584906853,NA,0
143,"2025-04-22",1.21607202316734,0.866266812203901,1.79064584906853,NA,0
144,"2025-04-23",1.21607202316734,0.866266812203901,1.79064584906853,1.33333333333333,5
145,"2025-04-24",1.21607202316734,0.866266812203901,1.79064584906853,1.81666666666667,10
146,"2025-04-25",1.21607202316734,0.866266812203901,1.79064584906853,1.22222222222222,9
147,"2025-04-26",0.795346121057257,0.558849256916988,1.17840049061233,NA,0
148,"2025-04-27",0.795346121057257,0.558849256916988,1.17840049061233,NA,0
149,"2025-04-28",0.797859027444466,0.598096637427849,1.05699244944007,NA,0
150,"2025-04-29",0.797859027444466,0.598096637427849,1.05699244944007,0.738888888888889,9
151,"2025-04-30",0.797859027444466,0.598096637427849,1.05699244944007,1.10416666666667,16
152,"2025-05-01",0.797859027444466,0.598096637427849,1.05699244944007,0.509259259259259,9
153,"2025-05-02",0.797859027444466,0.598096637427849,1.05699244944007,0.711538461538462,13
154,"2025-05-03",0.521221703119183,0.383625011403378,0.696098142264996,0.270833333333333,24
155,"2025-05-04",0.521221703119183,0.383625011403378,0.696098142264996,0.334415584415584,11
156,"2025-05-05",1.18133239971028,0.749722094303042,1.97288101690417,NA,0
157,"2025-05-06",1.18133239971028,0.749722094303042,1.97288101690417,NA,0
158,"2025-05-07",1.18133239971028,0.749722094303042,1.97288101690417,2,4
159,"2025-05-08",1.18133239971028,0.749722094303042,1.97288101690417,NA,0
160,"2025-05-09",1.18133239971028,0.749722094303042,1.97288101690417,NA,0
161,"2025-05-10",0.770796105110155,0.479642868584916,1.30841194704118,NA,0
162,"2025-05-11",0.770796105110155,0.479642868584916,1.30841194704118,NA,0
163,"2025-05-12",1.39423152332423,1.06717198502433,1.8517695002259,NA,0
164,"2025-05-13",1.39423152332423,1.06717198502433,1.8517695002259,1.63125,16
165,"2025-05-14",1.39423152332423,1.06717198502433,1.8517695002259,2.11764705882353,17
166,"2025-05-15",1.39423152332423,1.06717198502433,1.8517695002259,1.22916666666667,8
167,"2025-05-16",1.39423152332423,1.06717198502433,1.8517695002259,1.25,4
168,"2025-05-17",0.909200597689763,0.684228990529986,1.22188532256304,0.621794871794872,13
169,"2025-05-18",0.909200597689763,0.684228990529986,1.22188532256304,NA,0
170,"2025-05-19",1.10843685375006,0.834350552333788,1.49171807490885,NA,0
171,"2025-05-20",1.10843685375006,0.834350552333788,1.49171807490885,NA,0
172,"2025-05-21",1.10843685375006,0.834350552333788,1.49171807490885,2,3
173,"2025-05-22",1.10843685375006,0.834350552333788,1.49171807490885,1.86979166666667,8
174,"2025-05-23",1.10843685375006,0.834350552333788,1.49171807490885,1.0952380952381,14
175,"2025-05-24",0.722233703686958,0.536256442998233,0.983799569294493,0.446551724137931,29
176,"2025-05-25",0.722233703686958,0.536256442998233,0.983799569294493,NA,0
177,"2025-05-26",0.658762001493399,0.367545318036304,1.15061128864391,NA,0
178,"2025-05-27",1.0070172425435,0.56644673466878,1.76908605978581,NA,0
179,"2025-05-28",1.0070172425435,0.56644673466878,1.76908605978581,NA,0
180,"2025-05-29",1.0070172425435,0.56644673466878,1.76908605978581,NA,0
181,"2025-05-30",1.0070172425435,0.56644673466878,1.76908605978581,NA,0
182,"2025-05-31",0.658762001493399,0.367545318036304,1.15061128864391,NA,0
183,"2025-06-01",0.658762001493399,0.367545318036304,1.15061128864391,NA,0
184,"2025-06-02",0.914268684628358,0.649073210017308,1.28423734360045,NA,0
185,"2025-06-03",0.914268684628358,0.649073210017308,1.28423734360045,NA,0
186,"2025-06-04",0.914268684628358,0.649073210017308,1.28423734360045,0.75,2
187,"2025-06-05",0.914268684628358,0.649073210017308,1.28423734360045,1.72222222222222,9
188,"2025-06-06",0.914268684628358,0.649073210017308,1.28423734360045,1.08333333333333,6
189,"2025-06-07",0.596327175222054,0.421614116422929,0.84001335676163,0.291666666666667,30
