"data_type","day_index","event_date","observed","fitted_mean","pit","p_zero","p_one","in_50","in_95"
"trailer",2,"2024-12-02",1,2.025,0.4149,0.29466,0.24056,TRUE,TRUE
"trailer",3,"2024-12-03",2,2.025,0.6178,0.29466,0.24056,TRUE,TRUE
"trailer",4,"2024-12-04",5,2.025,0.8984,0.29466,0.24056,FALSE,TRUE
"trailer",5,"2024-12-05",3,2.025,0.7542,0.29466,0.24056,FALSE,TRUE
"trailer",6,"2024-12-06",2,2.025,0.6178,0.29466,0.24056,TRUE,TRUE
"trailer",7,"2024-12-07",2,3.528,0.4325,0.17799,0.1792,TRUE,TRUE
"trailer",10,"2024-12-10",1,1.094,0.5932,0.45858,0.26929,TRUE,TRUE
"trailer",11,"2024-12-11",0,1.094,0.2293,0.45858,0.26929,FALSE,TRUE
"trailer",12,"2024-12-12",1,1.094,0.5932,0.45858,0.26929,TRUE,TRUE
"trailer",13,"2024-12-13",0,1.094,0.2293,0.45858,0.26929,FALSE,TRUE
"trailer",14,"2024-12-14",0,1.902,0.1572,0.3143,0.24541,FALSE,TRUE
"trailer",15,"2024-12-15",2,1.902,0.6409,0.3143,0.24541,TRUE,TRUE
"trailer",18,"2024-12-18",4,1.392,0.9167,0.39444,0.2644,FALSE,TRUE
"trailer",20,"2024-12-20",1,1.392,0.5266,0.39444,0.2644,TRUE,TRUE
"trailer",21,"2024-12-21",1,2.424,0.3698,0.25798,0.22355,TRUE,TRUE
"trailer",22,"2024-12-22",1,2.424,0.3698,0.25798,0.22355,TRUE,TRUE
"trailer",23,"2024-12-23",2,1.437,0.7239,0.38302,0.26365,TRUE,TRUE
"trailer",24,"2024-12-24",1,1.437,0.5148,0.38302,0.26365,TRUE,TRUE
"trailer",26,"2024-12-26",0,1.437,0.1915,0.38302,0.26365,FALSE,TRUE
"trailer",27,"2024-12-27",2,1.437,0.7239,0.38302,0.26365,TRUE,TRUE
"trailer",28,"2024-12-28",5,2.504,0.8513,0.24799,0.21936,FALSE,TRUE
"trailer",31,"2024-12-31",2,3.507,0.4636,0.202,0.18744,TRUE,TRUE
"trailer",32,"2025-01-01",3,2.741,0.6681,0.2435,0.21187,TRUE,TRUE
"trailer",33,"2025-01-02",0,0.867,0.2634,0.52679,0.26237,TRUE,TRUE
"trailer",34,"2025-01-03",0,0.867,0.2634,0.52679,0.26237,TRUE,TRUE
"trailer",35,"2025-01-04",0,1.509,0.1905,0.38091,0.25824,FALSE,TRUE
"trailer",38,"2025-01-07",0,1.289,0.2063,0.41269,0.2677,FALSE,TRUE
"trailer",39,"2025-01-08",4,1.289,0.9286,0.41269,0.2677,FALSE,TRUE
"trailer",40,"2025-01-09",1,1.289,0.5465,0.41269,0.2677,TRUE,TRUE
"trailer",41,"2025-01-10",1,1.289,0.5465,0.41269,0.2677,TRUE,TRUE
"trailer",42,"2025-01-11",1,2.252,0.3888,0.27344,0.23069,TRUE,TRUE
"trailer",45,"2025-01-14",5,1.718,0.9263,0.33601,0.25344,FALSE,TRUE
"trailer",47,"2025-01-16",0,1.718,0.168,0.33601,0.25344,FALSE,TRUE
"trailer",48,"2025-01-17",3,1.718,0.8005,0.33601,0.25344,FALSE,TRUE
"trailer",49,"2025-01-18",4,2.997,0.7289,0.20999,0.19903,TRUE,TRUE
"trailer",52,"2025-01-21",1,0.98,0.6245,0.4909,0.26715,TRUE,TRUE
"trailer",53,"2025-01-22",1,0.98,0.6245,0.4909,0.26715,TRUE,TRUE
"trailer",54,"2025-01-23",0,0.98,0.2454,0.4909,0.26715,FALSE,TRUE
"trailer",55,"2025-01-24",1,0.98,0.6245,0.4909,0.26715,TRUE,TRUE
"trailer",56,"2025-01-25",1,1.709,0.4715,0.34532,0.25237,TRUE,TRUE
"trailer",60,"2025-01-29",3,0.744,0.9474,0.56558,0.25668,FALSE,TRUE
"trailer",61,"2025-01-30",0,0.744,0.2828,0.56558,0.25668,TRUE,TRUE
"trailer",62,"2025-01-31",0,0.744,0.2828,0.56558,0.25668,TRUE,TRUE
"trailer",63,"2025-02-01",0,1.298,0.2099,0.41981,0.26338,FALSE,TRUE
"trailer",67,"2025-02-05",0,0.563,0.3182,0.63649,0.23761,TRUE,TRUE
"trailer",68,"2025-02-06",0,0.563,0.3182,0.63649,0.23761,TRUE,TRUE
"trailer",69,"2025-02-07",0,0.563,0.3182,0.63649,0.23761,TRUE,TRUE
"trailer",70,"2025-02-08",2,1.794,0.6704,0.34595,0.24747,TRUE,TRUE
"trailer",73,"2025-02-11",0,0.639,0.3018,0.60355,0.24855,TRUE,TRUE
"trailer",74,"2025-02-12",1,0.639,0.7278,0.60355,0.24855,TRUE,TRUE
"trailer",76,"2025-02-14",1,0.639,0.7278,0.60355,0.24855,TRUE,TRUE
"trailer",77,"2025-02-15",2,1.113,0.7931,0.45925,0.26626,FALSE,TRUE
"trailer",81,"2025-02-19",0,0.513,0.3289,0.65772,0.23061,TRUE,TRUE
"trailer",82,"2025-02-20",0,0.513,0.3289,0.65772,0.23061,TRUE,TRUE
"trailer",83,"2025-02-21",0,0.513,0.3289,0.65772,0.23061,TRUE,TRUE
"trailer",84,"2025-02-22",1,0.894,0.6511,0.52001,0.26216,TRUE,TRUE
"trailer",87,"2025-02-25",0,0.599,0.309,0.61807,0.24555,TRUE,TRUE
"trailer",88,"2025-02-26",2,0.599,0.9071,0.61807,0.24555,FALSE,TRUE
