"stratum","label","walk_prev","walk_gap","contact_days","contacts","contacts_crabbing","typed_days","typed_crabbing","typed_combo","osp_days","osp_total","osp_crab_only","f_median","f_lo95","f_hi95","f_n_eff","f_Rhat","c_median","c_lo95","c_hi95","crab_only_share_median","crab_only_share_lo95","crab_only_share_hi95"
1,"2024-12",0,1,17,31,30,17,30,0,0,0,0,0.920665246985074,0.816018547711921,0.979359118389269,10686,1,0.0214576630855706,0.000851112696827592,0.0996855905656442,0.894037805776567,0.778339540229109,0.964578999838512
2,"2025-01",1,1,11,26,23,11,23,0,0,0,0,0.892189652933018,0.768894028655337,0.962000679029592,14290,1,0.0201168121983862,0.000620766007925439,0.104565296945594,0.866307583201615,0.735361393749388,0.947491800888348
3,"2025-02",2,1,4,5,5,4,5,0,0,0,0,0.868525952077323,0.668444668188224,0.971148797350409,11817,1,0.0526849676825329,0.00123394300166317,0.306872214693386,0.801621174643404,0.549802033354557,0.941555259938875
4,"2025-03",3,1,6,13,9,6,9,5,0,0,0,0.750397649182203,0.529856604879933,0.913468014652414,10716,1.0001,0.385588180886212,0.132066269321058,0.695144685403743,0.450501465883103,0.212483360199478,0.689169702623666
5,"2025-04",4,1,11,26,16,9,16,6,0,0,0,0.622076592960576,0.449562894877041,0.77602432584912,11825,0.9999,0.387679023094722,0.191018792798752,0.611627508653607,0.374176032020617,0.221847811532665,0.551012652836299
6,"2025-05",5,1,10,17,8,6,8,4,0,0,0,0.509344441947689,0.31970832862094,0.68894526328254,12063,0.9999,0.471779952195877,0.217417310555717,0.734555905555332,0.26218422819331,0.118184864481258,0.450362720994537
7,"2025-06",6,1,4,13,6,4,6,3,0,0,0,0.47221356643961,0.280026066888064,0.674930522544906,12469,0.9998,0.532519234496939,0.23484197650455,0.804755424950061,0.213521489618089,0.0817024082200713,0.412022135773832
8,"2025-07",7,1,6,17,8,4,8,6,0,0,0,0.417549590967585,0.246086317587268,0.618936747097129,12779,0.9998,0.647515775596589,0.373042245102371,0.883317527928989,0.142505450154347,0.0441301725083629,0.302582356168815
9,"2025-08",8,1,7,44,12,5,12,6,0,0,0,0.302584445378458,0.178489631658063,0.456083792787302,10621,1.0002,0.590490234595133,0.323706027603399,0.816867063680887,0.120547584873917,0.0486952178589778,0.240544466803659
10,"2025-09",9,1,6,29,4,3,4,4,0,0,0,0.196755544078518,0.0755393634863599,0.363847516987254,9079,1.0001,0.829612877611034,0.456580505556371,0.998152187425639,0.0311570754197566,0.000351158513228396,0.131366914827408
