"event_date","osp","n_counts","trail_mean","trail_max","trail_sum"
"2024-09-18",23,1,9,9,9
"2024-09-19",11,1,3,3,3
"2024-09-20",8,1,1,1,1
"2024-09-27",5,1,5,5,5
"2024-09-28",12,1,12,12,12
"2024-10-05",31,1,12,12,12
"2024-10-09",5,1,3,3,3
"2024-10-11",3,1,3,3,3
"2024-10-13",9,1,7,7,7
"2024-10-15",5,1,2,2,2
"2024-10-19",0,1,0,0,0
"2025-03-08",4,1,0,0,0
"2025-03-11",6,1,2,2,2
"2025-03-12",2,1,1,1,1
"2025-03-15",0,1,0,0,0
"2025-03-20",0,1,0,0,0
"2025-03-22",10,1,6,6,6
"2025-03-27",0,1,0,0,0
"2025-03-28",0,1,0,0,0
"2025-04-01",4,1,1,1,1
"2025-04-02",2,1,1,1,1
"2025-04-03",9,1,6,6,6
"2025-04-05",23,1,16,16,16
"2025-04-11",7,1,2,2,2
"2025-04-19",8,1,2,2,2
"2025-04-23",11,1,10,10,10
"2025-04-30",17,1,7,7,7
"2025-05-01",105,2,56,56,112
"2025-05-03",11,1,4,4,4
"2025-05-04",16,2,7,7,14
"2025-05-13",6,2,1,1,2
"2025-05-14",2,1,0,0,0
"2025-05-15",34,2,10,11,20
"2025-05-17",10,2,2.5,3,5
"2025-05-22",48,2,12.5,13,25
"2025-05-24",62,2,15,23,30
"2025-06-04",3,2,2,2,4
"2025-06-06",9,2,1.5,2,3
"2025-06-07",32,2,13.5,14,27
"2025-06-21",39,2,4,6,8
"2025-07-05",187,1,74,74,74
"2025-07-16",66,2,12.5,13,25
"2025-07-19",214,1,73,73,73
"2025-07-29",130,2,27,39,54
"2025-08-01",203,2,66.5,67,133
"2025-08-02",262,2,71.5,96,143
"2025-08-06",45,3,9,11,27
"2025-08-14",102,2,17,28,34
"2025-08-15",8,2,3,4,6
"2025-08-16",60,2,9,11,18
"2025-08-19",184,1,69,69,69
"2025-08-20",142,1,52,52,52
"2025-08-26",75,2,14,14,28
"2025-08-30",322,1,122,122,122
"2025-09-01",212,2,63,85,126
"2025-09-03",49,1,16,16,16
"2025-09-04",55,2,10.5,15,21
"2025-09-06",169,2,52.5,68,105
"2025-09-09",82,3,30.3333333333333,33,91
"2025-09-12",86,2,19,24,38
"2025-09-13",107,3,43,45,129
